EWR,2004/12,309,4478,37,8294
FLL,2004/12,37,2070,5,4131
IAD,2004/12,446,3108,28,9430
IAH,2004/12,153,3610,31,13835
JFK,2004/12,191,2480,15,5521
LAS,2004/12,154,3632,12,9827
LAX,2004/12,391,4952,31,14430
LGA,2004/12,442,3181,33,7011
MCO,2004/12,110,2630,8,7405
MDW,2004/12,100,1724,36,5689
MIA,2004/12,38,1596,2,3936
MSP,2004/12,167,2877,18,8818
ORD,2004/12,994,9043,25,19296
PDX,2004/12,65,1347,13,3117
PHL,2004/12,391,3983,74,7364
PHX,2004/12,205,4066,9,10337
SAN,2004/12,161,1939,99,5131
SEA,2004/12,166,2679,35,5831
SFO,2004/12,339,3258,36,7002
SLC,2004/12,400,2881,9,8634
TPA,2004/12,51,1795,5,5160
ATL,2005/01,2418,8355,60,24215
BOS,2005/01,1128,2947,32,6742
BWI,2005/01,320,1938,29,6514
CLT,2005/01,307,1768,21,7376
DCA,2005/01,509,1737,53,5762
DEN,2005/01,294,3153,22,9218
DFW,2005/01,751,5084,96,21461
DTW,2005/01,374,2556,41,8433
EWR,2005/01,701,3581,17,7980
FLL,2005/01,113,1837,21,4094
IAD,2005/01,802,2430,23,9126
IAH,2005/01,185,3128,16,13533
JFK,2005/01,455,2404,31,5212
LAS,2005/01,261,3826,29,9404
LAX,2005/01,443,5021,31,13870
LGA,2005/01,895,2771,50,7083
MCO,2005/01,200,2372,5,7602
MDW,2005/01,252,1592,73,5249
MIA,2005/01,120,1335,2,4110
MSP,2005/01,320,2507,29,8528
ORD,2005/01,2216,9178,94,16706
PDX,2005/01,137,954,7,3252
PHL,2005/01,784,3896,88,6749
PHX,2005/01,291,3899,25,10242
SAN,2005/01,137,1952,15,5179
SEA,2005/01,185,1997,14,6113
SFO,2005/01,323,2816,10,7125
SLC,2005/01,536,2525,24,8915
TPA,2005/01,146,1544,10,5291
ATL,2005/02,1170,9195,55,23282
BOS,2005/02,319
BWI,2005/02,96,1434,8,6631
CLT,2005/02,100,1544,4,7468
DCA,2005/02,251,1547,9,6410
DEN,2005/02,88,1788,12,9592
DFW,2005/02,224,3012,16,19056
DTW,2005/02,249,2158,61,8212
EWR,2005/02,314,3137,14,8009
FLL,2005/02,18,1765,3,4186
IAD,2005/02,139,1639,0,8264
IAH,2005/02,159,3203,56,12357
JFK,2005/02,122,1784,10,5536
LAS,2005/02,97,3280,18,8994
LAX,2005/02,180,4264,15,12951
LGA,2005/02,390,3216,8,6193
MCO,2005/02,42,1765,5,7483
MDW,2005/02,78,934,3,5276
MIA,2005/02,34,935,7,4159
MSP,2005/02,125,1739,7,8699
